"FileName","FileExtension","FilePath","CreatedDateTime","ModifiedDateTime","CreatedBy","ModifiedBy","FileSize","ItemType"
"4. General Ledger and Accounts Payable Listing","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing","09/04/2025 01:52:34","09/04/2025 01:52:34","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ACD-gj details-yr2022.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing/ACD-gj details-yr2022.xlsx","09/04/2025 02:28:53","09/04/2025 02:28:53","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ACDS - 2023 AP Reconciliation Detail.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing/ACDS - 2023 AP Reconciliation Detail.xlsx","09/04/2025 02:29:21","09/04/2025 02:29:21","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ACDS - 2024 AP Reconciliation Detail.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing/ACDS - 2024 AP Reconciliation Detail.xlsx","09/04/2025 02:29:21","09/04/2025 02:29:21","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Allied Cntr Depot Svs-Payables Detail as at 31.12.2022-10.07.23.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing/Allied Cntr Depot Svs-Payables Detail as at 31.12.2022-10.07.23.xlsx","09/04/2025 02:29:21","09/04/2025 02:29:21","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Allied Contr Depot-GL Detail-Jan-Dec 2023.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing/Allied Contr Depot-GL Detail-Jan-Dec 2023.xlsx","09/04/2025 02:27:15","09/04/2025 02:27:15","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"General Ledger [Detail] Jan to Dec24.xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/4. General Ledger and Accounts Payable Listing/General Ledger [Detail] Jan to Dec24.xlsx","09/04/2025 02:27:10","09/04/2025 02:27:10","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"5. SST Registration Certificate","","SHARING/Project Rubicon Tax DD/Malaysia/5. SST Registration Certificate","10/04/2025 05:50:02","10/04/2025 05:50:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ALLIED CONTAINER DEPOT SERVICES SST _Approval Letter.pdf","","SHARING/Project Rubicon Tax DD/Malaysia/5. SST Registration Certificate/ALLIED CONTAINER DEPOT SERVICES SST _Approval Letter.pdf","10/04/2025 05:50:11","10/04/2025 05:50:11","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"20250407 - Project Rubicon - TDD RFI - Malaysia(66015.1).xlsx","","SHARING/Project Rubicon Tax DD/Malaysia/20250407 - Project Rubicon - TDD RFI - Malaysia(66015.1).xlsx","08/04/2025 01:39:07","10/04/2025 05:49:45","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Singapore","","SHARING/Project Rubicon Tax DD/Singapore","07/04/2025 05:08:54","07/04/2025 05:08:52","Jack Hu","Jack Hu","0","Folder"
"12. Tax incentive or schemes granted","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted","08/04/2025 04:07:36","08/04/2025 04:07:36","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ACEM","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM","08/04/2025 04:10:28","08/04/2025 04:10:28","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Corporate Income Tax Rebate Cash Disbursement Notice YA2024.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Corporate Income Tax Rebate Cash Disbursement Notice YA2024.pdf","08/04/2025 04:10:38","08/04/2025 04:10:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2023 20 Mar 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/CPF Transition Offset YA2023 20 Mar 2023 - ACEM.pdf","08/04/2025 04:10:38","08/04/2025 04:10:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2023 25 Sep 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/CPF Transition Offset YA2023 25 Sep 2023 - ACEM.pdf","08/04/2025 04:10:38","08/04/2025 04:10:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2024 22 Mar 2024 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/CPF Transition Offset YA2024 22 Mar 2024 - ACEM.pdf","08/04/2025 04:10:38","08/04/2025 04:10:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2024 24 Sep 2024 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/CPF Transition Offset YA2024 24 Sep 2024 - ACEM.pdf","08/04/2025 04:10:38","08/04/2025 04:10:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2025 24 Mar 2025 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/CPF Transition Offset YA2025 24 Mar 2025 - ACEM.pdf","08/04/2025 04:10:39","08/04/2025 04:10:39","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 20 Jun 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Job Growth Incentive Notification Letter to the Employer YA2023 20 Jun 2023 - ACEM.pdf","08/04/2025 04:10:39","08/04/2025 04:10:39","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 20 Sep 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Job Growth Incentive Notification Letter to the Employer YA2023 20 Sep 2023 - ACEM.pdf","08/04/2025 04:10:39","08/04/2025 04:10:39","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 26 Dec 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Job Growth Incentive Notification Letter to the Employer YA2023 26 Dec 2023 - ACEM.pdf","08/04/2025 04:10:39","08/04/2025 04:10:39","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Progressive Wage Credit Scheme YA2023 27 Mar 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Progressive Wage Credit Scheme YA2023 27 Mar 2023 - ACEM.pdf","08/04/2025 04:10:40","08/04/2025 04:10:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Progressive Wage Credit Scheme YA2024 8 May 2024 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Progressive Wage Credit Scheme YA2024 8 May 2024 - ACEM.pdf","08/04/2025 04:10:37","08/04/2025 04:10:37","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Progressive Wage Credit Scheme YA2025 26 Mar 2025 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/Progressive Wage Credit Scheme YA2025 26 Mar 2025 - ACEM.pdf","08/04/2025 04:10:37","08/04/2025 04:10:37","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2023 20 Mar 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/SEC EEC - Notification Letter YA2023 20 Mar 2023 - ACEM.pdf","08/04/2025 04:10:37","08/04/2025 04:10:37","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2023 25 Sep 2023 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/SEC EEC - Notification Letter YA2023 25 Sep 2023 - ACEM.pdf","08/04/2025 04:10:37","08/04/2025 04:10:37","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2024 22 Mar 2024 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/SEC EEC - Notification Letter YA2024 22 Mar 2024 - ACEM.pdf","08/04/2025 04:10:37","08/04/2025 04:10:37","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2024 24 Sep 2024 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/SEC EEC - Notification Letter YA2024 24 Sep 2024 - ACEM.pdf","08/04/2025 04:10:37","08/04/2025 04:10:37","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2025 24 Mar 2025 - ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACEM/SEC EEC - Notification Letter YA2025 24 Mar 2025 - ACEM.pdf","08/04/2025 04:10:38","08/04/2025 04:10:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ACS","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS","08/04/2025 04:10:47","08/04/2025 04:10:47","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Corporate Income Tax Rebate Cash Disbursement Notice YA2024 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Corporate Income Tax Rebate Cash Disbursement Notice YA2024 - ACS.pdf","08/04/2025 04:11:01","08/04/2025 04:11:01","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2023 20 Mar 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/CPF Transition Offset YA2023 20 Mar 2023 - ACS.pdf","08/04/2025 04:11:00","08/04/2025 04:11:00","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2023 25 Sep 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/CPF Transition Offset YA2023 25 Sep 2023 - ACS.pdf","08/04/2025 04:11:00","08/04/2025 04:11:00","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2024 22 Mar 2024 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/CPF Transition Offset YA2024 22 Mar 2024 - ACS.pdf","08/04/2025 04:11:00","08/04/2025 04:11:00","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2024 24 Sep 2024 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/CPF Transition Offset YA2024 24 Sep 2024 - ACS.pdf","08/04/2025 04:11:01","08/04/2025 04:11:01","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"CPF Transition Offset YA2025 25 Mar 2025 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/CPF Transition Offset YA2025 25 Mar 2025 - ACS.pdf","08/04/2025 04:11:01","08/04/2025 04:11:01","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Appeal Notification Letter YA2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Job Growth Incentive Appeal Notification Letter YA2023 - ACS.pdf","08/04/2025 04:11:01","08/04/2025 04:11:01","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 14 Mar 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Job Growth Incentive Notification Letter to the Employer YA2023 14 Mar 2023 - ACS.pdf","08/04/2025 04:11:02","08/04/2025 04:11:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 20 Jun 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Job Growth Incentive Notification Letter to the Employer YA2023 20 Jun 2023 - ACS.pdf","08/04/2025 04:11:02","08/04/2025 04:11:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 20 Sep 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Job Growth Incentive Notification Letter to the Employer YA2023 20 Sep 2023 - ACS.pdf","08/04/2025 04:11:03","08/04/2025 04:11:03","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Job Growth Incentive Notification Letter to the Employer YA2023 26 Dec 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Job Growth Incentive Notification Letter to the Employer YA2023 26 Dec 2023 - ACS.pdf","08/04/2025 04:11:02","08/04/2025 04:11:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Progressive Wage Credit Scheme YA2023 27 Mar 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Progressive Wage Credit Scheme YA2023 27 Mar 2023 - ACS.pdf","08/04/2025 04:11:02","08/04/2025 04:11:02","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Progressive Wage Credit Scheme YA2024 27 Mar 2024 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Progressive Wage Credit Scheme YA2024 27 Mar 2024 - ACS.pdf","08/04/2025 04:10:59","08/04/2025 04:10:59","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Progressive Wage Credit Scheme YA2025 26 Mar 2025 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/Progressive Wage Credit Scheme YA2025 26 Mar 2025 - ACS.pdf","08/04/2025 04:10:59","08/04/2025 04:10:59","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2023 20 Mar 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/SEC EEC - Notification Letter YA2023 20 Mar 2023 - ACS.pdf","08/04/2025 04:10:59","08/04/2025 04:10:59","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2023 23 Sep 2023 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/SEC EEC - Notification Letter YA2023 23 Sep 2023 - ACS.pdf","08/04/2025 04:10:59","08/04/2025 04:10:59","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2024 22 Mar 2024 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/SEC EEC - Notification Letter YA2024 22 Mar 2024 - ACS.pdf","08/04/2025 04:11:00","08/04/2025 04:11:00","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2024 24 Sep 2024 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/SEC EEC - Notification Letter YA2024 24 Sep 2024 - ACS.pdf","08/04/2025 04:11:00","08/04/2025 04:11:00","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"SEC EEC - Notification Letter YA2025 24 Mar 2025 - ACS.pdf","","SHARING/Project Rubicon Tax DD/Singapore/12. Tax incentive or schemes granted/ACS/SEC EEC - Notification Letter YA2025 24 Mar 2025 - ACS.pdf","08/04/2025 04:11:00","08/04/2025 04:11:00","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2. Audited FS or management accounts","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts","04/04/2025 13:25:41","04/04/2025 14:10:47","josephine.tan@allied.com.sg","Jack Hu","0","Folder"
"2022 Allied Container (Engineers & Manufacturers) Pte Ltd.pdf","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/2022 Allied Container (Engineers & Manufacturers) Pte Ltd.pdf","04/04/2025 13:26:20","04/04/2025 13:26:20","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2022 Allied Container Services Pte Ltd.pdf","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/2022 Allied Container Services Pte Ltd.pdf","04/04/2025 13:26:11","04/04/2025 13:26:11","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2022 Winspec Shipping Pte Ltd.pdf","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/2022 Winspec Shipping Pte Ltd.pdf","04/04/2025 13:27:22","04/04/2025 13:27:22","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2023 Allied Container (Engineers & Manufacturers) Audited Financial Statement_.pdf","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/2023 Allied Container (Engineers & Manufacturers) Audited Financial Statement_.pdf","04/04/2025 13:26:20","04/04/2025 13:26:20","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2023 Allied Container Services Pte Ltd_.pdf","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/2023 Allied Container Services Pte Ltd_.pdf","04/04/2025 13:26:12","04/04/2025 13:26:12","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"2023 Winspec Shipping Pte Ltd_.pdf","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/2023 Winspec Shipping Pte Ltd_.pdf","04/04/2025 13:27:22","04/04/2025 13:27:22","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Management accounts - Allied Container Services FY2024.xlsx","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/Management accounts - Allied Container Services FY2024.xlsx","04/04/2025 13:30:41","04/04/2025 13:30:41","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"Management accounts - Winspec Shipping Pte Ltd FY2024.xlsx","","SHARING/Project Rubicon Tax DD/Singapore/2. Audited FS or management accounts/Management accounts - Winspec Shipping Pte Ltd FY2024.xlsx","04/04/2025 13:28:54","04/04/2025 13:28:54","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"25. GST returns","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns","04/04/2025 13:52:24","04/04/2025 14:10:48","josephine.tan@allied.com.sg","Jack Hu","0","Folder"
"ACEM","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM","04/04/2025 13:53:26","04/04/2025 13:53:26","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"FY2022","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2022","04/04/2025 13:58:38","04/04/2025 13:58:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page (29-4-22).pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2022/GST F5_F8 Acknowledgement Page (29-4-22).pdf","04/04/2025 13:58:40","04/04/2025 13:58:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page (29-7-22).pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2022/GST F5_F8 Acknowledgement Page (29-7-22).pdf","04/04/2025 13:58:40","04/04/2025 13:58:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page (31-10-22).pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2022/GST F5_F8 Acknowledgement Page (31-10-22).pdf","04/04/2025 13:58:40","04/04/2025 13:58:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page (OCT-DEC 22).pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2022/GST F5_F8 Acknowledgement Page (OCT-DEC 22).pdf","04/04/2025 13:58:40","04/04/2025 13:58:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"FY2023","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2023","04/04/2025 13:58:38","04/04/2025 13:58:38","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page (29-4-23).pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2023/GST F5_F8 Acknowledgement Page (29-4-23).pdf","04/04/2025 13:58:40","04/04/2025 13:58:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page (JUL-SEP 23).pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2023/GST F5_F8 Acknowledgement Page (JUL-SEP 23).pdf","04/04/2025 13:58:39","04/04/2025 13:58:39","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page APR-JUN 23.pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2023/GST F5_F8 Acknowledgement Page APR-JUN 23.pdf","04/04/2025 13:58:40","04/04/2025 13:58:40","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"GST F5_F8 Acknowledgement Page OCT-DEC 23.pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2023/GST F5_F8 Acknowledgement Page OCT-DEC 23.pdf","04/04/2025 13:58:39","04/04/2025 13:58:39","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"FY2024","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2024","04/04/2025 13:53:43","04/04/2025 13:53:43","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"E-F5_ACK_APR TO JUN24 ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2024/E-F5_ACK_APR TO JUN24 ACEM.pdf","04/04/2025 13:53:15","04/04/2025 13:53:15","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"E-F5_ACK_JAN TO MAR24 ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2024/E-F5_ACK_JAN TO MAR24 ACEM.pdf","04/04/2025 13:53:15","04/04/2025 13:53:15","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"E-F5_ACK_JUL TO SEP24 ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2024/E-F5_ACK_JUL TO SEP24 ACEM.pdf","04/04/2025 13:53:15","04/04/2025 13:53:15","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"E-F5_ACK_OCT TO DEC24 ACEM.pdf","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACEM/FY2024/E-F5_ACK_OCT TO DEC24 ACEM.pdf","04/04/2025 13:53:15","04/04/2025 13:53:15","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
"ACS","","SHARING/Project Rubicon Tax DD/Singapore/25. GST returns/ACS","04/04/2025 13:54:05","04/04/2025 13:54:33","josephine.tan@allied.com.sg","josephine.tan@allied.com.sg","0","Folder"
